GBManhattanDistances FeatureIds
2 48
1 48
0 48
0 47
1 47
2 47
2 47
2 47
2 47
2 47
1 1
1 1
0 1
0 1
0 1
0 34
1 34
2 34
2 34
2 34
2 34
2 34
2 34
1 34
0 34
0 34
0 14
1 14
2 14
2 14
2 14
2 14
2 14
2 14
1 14
0 14
0 8
1 8
2 8
1 8
0 8
0 17
1 17
2 17
3 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
3 32
2 32
1 32
0 32
0 48
1 48
2 48
3 48
2 48
1 48
0 48
0 47
1 47
2 47
2 47
2 47
2 47
2 47
2 1
2 1
1 1
1 1
0 1
0 34
0 34
0 34
0 34
1 34
1 34
1 34
1 34
1 34
0 34
0 34
0 14
1 14
2 14
2 14
2 14
2 14
3 14
2 14
1 14
0 14
0 8
1 8
2 8
2 8
1 8
0 8
0 17
1 17
2 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
2 32
1 32
0 32
0 48
1 48
2 48
3 48
4 48
3 48
2 48
1 48
0 48
0 47
1 47
1 47
1 47
1 47
1 47
2 1
2 1
1 1
1 1
0 1
0 34
0 34
1 34
1 34
1 34
1 34
1 34
1 34
1 34
0 34
0 34
0 14
1 14
2 14
3 14
3 14
3 14
3 14
2 14
1 14
0 14
0 8
1 8
2 8
1 8
0 8
0 17
1 17
2 17
3 17
3 17
2 17
1 17
0 17
0 32
1 32
2 32
2 32
1 32
0 32
0 48
1 48
2 48
3 48
4 48
3 48
2 48
1 48
0 48
0 47
1 47
1 47
1 47
1 47
1 47
3 1
3 1
2 1
2 1
1 1
0 1
0 49
0 49
0 49
0 34
0 34
0 34
0 34
0 34
0 30
0 30
0 14
1 14
2 14
3 14
3 14
2 14
2 14
1 14
0 14
0 8
1 8
2 8
3 8
2 8
1 8
0 8
0 17
1 17
2 17
2 17
1 17
0 17
0 32
1 32
2 32
3 32
2 32
1 32
0 32
0 48
1 48
2 48
3 48
4 48
3 48
2 48
1 48
0 48
0 47
0 47
0 47
0 47
0 47
0 47
3 1
3 1
2 1
2 1
1 1
0 1
0 49
0 34
0 34
0 34
0 34
0 34
0 34
0 34
0 30
0 30
0 14
1 14
2 14
3 14
3 14
2 14
2 14
1 14
0 14
0 8
1 8
2 8
3 8
2 8
1 8
0 8
0 17
1 17
2 17
2 17
2 17
1 17
0 17
0 32
1 32
2 32
2 32
1 32
0 32
0 48
1 48
2 48
3 48
4 48
4 48
3 48
2 48
1 48
0 48
0 47
0 47
0 47
0 47
0 47
4 1
4 1
3 1
